Analysis,Depth,AR,RB,WB,GB
𝛿C13δC13,0–5,−27.97−27.97,−28.15−28.15,−28.18−28.18,−27.48−27.48
,5–10,−27.35−27.35,−27.43−27.43,−27.80−27.80,−26.94−26.94
,10–25,−26.93−26.93,−26.92−26.92,−27.17−27.17,−26.84−26.84
,25–50,−25.70−25.70,−26.06−26.06,−26.26−26.26,−25.98−25.98
𝛿N15δN15,0–5,0.78,1.49,1.77,0.81
,5–10,4.72,3.29,3.04,1.05
,10–25,6.02,4.75,4.07,1.29
,25–50,5.01,4.79,5.11,1.4
C,0–5,5.4,3.59,4.41,2.07
,5–10,1.65,1.82,1.85,1.68
,10–25,ND,0.99,1.34,1.1
,25–50,0.33,0.35,0.41,0.52
N,0–5,0.22,0.16,0.25,0.15
,5–10,0.07,0.09,0.11,0.12
,10–25,ND,0.05,0.08,0.08
,25–50,0.03,0.03,0.03,0.04
